date,value
2017-09-29,160
2017-09-30,144
2017-10-01,706
2017-10-02,104
2017-10-03,118
2017-10-04,139
2017-10-05,125
2017-10-06,135
2017-10-07,145
2017-10-08,159
2017-10-09,126
2017-10-10,137
2017-10-11,89
2017-10-12,113
2017-10-13,102
2017-10-14,145
2017-10-15,150
2017-10-16,124
2017-10-17,102
2017-10-18,128
2017-10-19,103
2017-10-20,126
2017-10-21,206
2017-10-22,147
2017-10-23,136
2017-10-24,98
2017-10-25,124
2017-10-26,127
2017-10-27,124
2017-10-28,162
2017-10-29,162
2017-10-30,96
2017-10-31,137
2017-11-01,121
2017-11-02,113
2017-11-03,125
2017-11-04,150
2017-11-05,210
2017-11-06,105
2017-11-07,114
2017-11-08,100
2017-11-09,105
2017-11-10,129
2017-11-11,142
2017-11-12,164
2017-11-13,130
2017-11-14,118
2017-11-15,91
2017-11-16,120
2017-11-17,88
2017-11-18,138
2017-11-19,145
2017-11-20,89
2017-11-21,91
2017-11-22,98
2017-11-23,109
2017-11-24,146
2017-11-25,163
2017-11-26,135
2017-11-27,127
2017-11-28,99
2017-11-29,112
2017-11-30,104
2017-12-01,110
2017-12-02,141
2017-12-03,136
2017-12-04,97
2017-12-05,99
2017-12-06,98
2017-12-07,96
2017-12-08,87
2017-12-09,126
2017-12-10,132
2017-12-11,127
2017-12-12,100
2017-12-13,118
2017-12-14,83
2017-12-15,96
2017-12-16,131
2017-12-17,125
2017-12-18,98
2017-12-19,141
2017-12-20,109
2017-12-21,104
2017-12-22,133
2017-12-23,134
2017-12-24,121
2017-12-25,90
2017-12-26,123
2017-12-27,83
2017-12-28,100
2017-12-29,83
2017-12-30,107
2017-12-31,129
2018-01-01,186
2018-01-02,78
2018-01-03,100
2018-01-04,99
2018-01-05,104
2018-01-06,131
2018-01-07,144
2018-01-08,105
2018-01-09,109
2018-01-10,76
2018-01-11,164
2018-01-12,138
2018-01-13,118
2018-01-14,122
2018-01-15,115
2018-01-16,85
2018-01-17,101
2018-01-18,92
2018-01-19,81
2018-01-20,150
2018-01-21,152
2018-01-22,124
2018-01-23,139
2018-01-24,115
2018-01-25,130
2018-01-26,124
2018-01-27,145
2018-01-28,153
2018-01-29,103
2018-01-30,104
2018-01-31,102
2018-02-01,108
2018-02-02,94
2018-02-03,133
2018-02-04,91
2018-02-05,100
2018-02-06,102
2018-02-07,99
2018-02-08,109
2018-02-09,92
2018-02-10,103
